0,StopMusic,,,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,,,
0,CombatZoneResizeInstant,120,251,520,391,,,,,,
0,SetMaxHP,92,,,,,,,,,
0,DamagePlayer,0,,,,,,,,,
0,HeartTeleport,320,308.5,,,,,,,,
0,SansAnimation,Stop,,,,,,,,,
2,Sound,PlayerFight,1,,,,,,,,
0,Sound,PlayerFight,1,,,,,,,,
0.8,Sound,Ding,1,,,,,,,,
0.7,SansHead,Tired2,,,,,,,,,
0,JMPZ,13,0,,,#skip,,,,,
0.25,SansText,...?,,,,,,,,,
0,SansHead,Default,,,,,,,,,
0,SansText,what just happened?,,,,,,,,,
0,SansText,..?,,,,,,,,,
0,SansHead,LookLeft,,,,,,,,,
0,SansText,oh hey there!,,,,,,,,,
0,SansText,i see that you have                     finally arrived huh?,,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,,,
0,SansText,oh well                                 kid.,,,,,,,,,
0,SansHead,Default,,,,,,,,,
0,SansText,you will now face                       something that you                     will hardly forget.,,,,,,,,,
0,SansHead,closedEyes,,,,,,,,,
0,SansText,i have told you from                   many genocide routes                     before...,,,,,,,,,
0,sansHead,Default,,,,,,,,,
0,SansText,reset.,,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,,,
0,SansText,but you did not                     listen to me.,,,,,,,,,
0,SansHead,Default,,,,,,,,,
0,SansText,you could have fixed                   all this in only a press                of a button.,,,,,,,,,
0,SansText,you could made                     your decision...,,,,,,,,,
0,SansText,and finally have                   a good ending.,,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,,,
0,SansText,but now                            it is too late.,,,,,,,,,
0,SansText,now you will face out                     your consequences...,,,,,,,,,
0,SansHead,NoEyes,,,,,,,,,
0,SansText,that driven you                     into this.,,,,,,,,,
0,SansHead,NoEyes,,,,,,,,,
0,Sound,Ding,1,,,,,,,,
0,HeartMode,0,,,,,,,,,
0.8,Sound,mus_zz_megalovania,0.8,,,,,,,,
0,SansAnimation,HeadBob,,,,,,,,,
5,SansHead,NoEyes2,,,,,,,,,
5,BoneH,-100,450,140,0,500,,,,,
0,Sound,BoneStab,1,,,,,,,,
0,Sound,BoneStab,1,,,,,,,,
0.3,BlackScreen,1,,,,,,,,,
0,BlackScreen,0,,,,,,,,,
0,BoneH,18,450,140,0,0,,,,,
0.8,BlackScreen,1,,,,,,,,,
0,BlackScreen,0,,,,,,,,,
0,FightXY,999,999,,,,,,,,
0,Sound,HeartSplit,1,,,,,,,,
0,Sound,HeartSplit,1,,,,,,,,
1.4,BoneH,344,450,140,0,500,,,,,
0,Sound,BoneStab,1,,,,,,,,
0,Sound,BoneStab,1,,,,,,,,
0.3,BlackScreen,1,,,,,,,,,
0,BlackScreen,0,,,,,,,,,
0,BoneH,480,450,140,0,0,,,,,
0.8,BlackScreen,1,,,,,,,,,
0,BlackScreen,0,,,,,,,,,
0,MercyXY,999,999,,,,,,,,
0,Sound,HeartSplit,1,,,,,,,,
0,Sound,HeartSplit,1,,,,,,,,
1.4,BoneH,48,450,140,0,500,,,,,
0,Sound,BoneStab,1,,,,,,,,
0,Sound,BoneStab,1,,,,,,,,
0.3,BlackScreen,1,,,,,,,,,
0,BlackScreen,0,,,,,,,,,
0,BoneH,166,450,140,0,0,,,,,
0.8,BlackScreen,1,,,,,,,,,
0,BlackScreen,0,,,,,,,,,
0,ActXY,999,999,,,,,,,,
0,Sound,HeartSplit,1,,,,,,,,
0,Sound,HeartSplit,1,,,,,,,,
1.4,BoneH,196,450,140,0,500,,,,,
0,Sound,BoneStab,1,,,,,,,,
0,Sound,BoneStab,1,,,,,,,,
0.3,BlackScreen,1,,,,,,,,,
0,BlackScreen,0,,,,,,,,,
0,BoneH,334,450,140,0,0,,,,,
0.8,BlackScreen,1,,,,,,,,,
0,BlackScreen,0,,,,,,,,,
0,ItemXY,999,999,,,,,,,,
0,Sound,HeartSplit,1,,,,,,,,
0,Sound,HeartSplit,1,,,,,,,,
0.3,Sound,Dark,1,,,,,,,,
0,Sound,Dark,1,,,,,,,,
0.4,BlackScreen,1,,,,,,,,,
0,Sound,Flash,1,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,
0,Sound,Flash,0,,,,,,,,
0,SansAnimation,Idle,,,,,,,,,
0,SansHead,NoTooth,,,,,,,,,
0,JMPZ,98,0,,,#Debug,,,,,
,,,,,,,,,,,
0,SansSlam,1,,,,,,,,,
0,Sound,Ding,1,,,,,,,,
0,BoneV,520,251,70,2,330,,,,,
0,BoneV,120,311,80,0,330,,,,,
1,SansSlam,2,,,,,,,,,
0,GasterBlaster,1,150,0,150,180,90,0.5,0.3,,
1,SansSlam,3,,,,,,,,,
0,GasterBlaster,1,640,281,580,281,180,0.5,0.3,,
0,Set,Cnt,6,,,,,,,,
0,Rnd,GBX,360,,,,,,,,
0,Add,GBX,$GBX,130,,,,,,,
0.25,GasterBlaster,1,$GBX,0,$GBX,180,90,2.5,0.5,,
0,Sub,Cnt,$Cnt,1,,,,,,,
0,JMPNZ,108,$Cnt,,,,,,,,
0,SansSlam,1,,,,,,,,,
0,SansHead,NoEyes2,,,,,,,,,
0,BoneVRepeat,120,251,271,0,600,9,220,2,,
0,BoneVRepeat,520,251,271,2,600,9,220,1,,
3.4,SansSlam,3,,,,,,,,,
0.4,BoneVRepeat,120,246,30,0,420,9,220,,,
0,BoneVRepeat,520,246,30,2,420,9,220,,,
0,BoneVRepeat,120,300,200,0,420,9,220,,,
0,BoneVRepeat,520,300,200,2,420,9,220,,,
5,Sansslam,1,,,,,,,,,
0,BoneVRepeat,0,366,30,0,350,30,130,,,
1,BoneVRepeat,640,246,100,2,350,22,160,,,
1,CombatZoneResize,120,251,260,391,,,,,,
0,CombatZoneSpeed,80,,,,,,,,,
3.5,CombatZoneResize,420,251,560,391,,,,,,
6.5,CombatZoneResize,241,226,406,391,,,,,,
0,CombatZoneSpeed,500,,,,,,,,,
0.5,SansHead,NoTooth,,,,,,,,,
1.5,SansHead,NoEyes2,,,,,,,,,
1,BoneVRepeat,241,326,70,0,230,16,20,,,
0,BoneVRepeat,406,326,70,2,230,16,20,,,
0.5,SansSlam,2,,,,,,,,,
0,BoneH,241,391,45,3,230,,,,,
1,GasterBlaster,1,0,0,271,150,90,0.5,0.3,,
0,GasterBlaster,1,640,480,486,308.5,180,0.5,0.3,,
0.6,SansSlam,3,,,,,,,,,
0.8,BoneVRepeat,241,326,70,0,230,8,20,,,
0,BoneVRepeat,406,226,45,2,230,8,20,,,
0.8,SansSlam,1,,,,,,,,,
0.5,GetHeartPos,HX,HY,,,,,,,,
0,Angle,Ang,141,126,$HX,$HY,,,,,
0,GasterBlaster,0,0,0,141,126,$Ang,0.4,0.2,,
0,Angle,Ang,506,126,$HX,$HY,,,,,
0,GasterBlaster,0,0,0,506,126,$Ang,0.4,0.2,,
0,GasterBlaster,1,640,480,500,376,180,0.4,0.3,,
0.4,CombatZoneResize,120,226,520,391,,,,,,
0,CombatZoneSpeed,500,,,,,,,,,
0.5,PlatformRepeat,251,281,50,0,230,8,170,,,
0,PlatformRepeat,470,336,50,2,230,8,170,,,
0,BoneVRepeat,520,351,55,2,200,7,170,,,
0,BoneVRepeat,520,221,60,2,200,7,170,,,
0,BoneVRepeat,120,283,55,0,160,7,150,,,
7,Set,Cnt,9,,,,,,,,
0,HeartMode,0,,,,,,,,,
0,Sound,ding,1,,,,,,,,
0.8,GetHeartPos,HX,HY,,,,,,,,
0,Angle,Ang,120,200,$HX,$HY,,,,,
0,GasterBlaster,0,0,0,120,200,$Ang,0.8,0.35,,
0,Angle,Ang,520,200,$HX,$HY,,,,,
0,GasterBlaster,0,0,0,520,200,$Ang,0.8,0.35,,
0,Angle,Ang,320,450,$HX,$HY,,,,,
0,GasterBlaster,0,0,0,320,450,$Ang,0.8,0.35,,
0,Sub,Cnt,$Cnt,1,,,,,,,
0,JMPNZ,158,$Cnt,,,,,,,,
0.8,CombatZoneResize,241,226,406,391,,,,,,
0,CombatZoneSpeed,500,,,,,,,,,
1,BoneVRepeat,241,226,82.5,0,150,9,80,,,
0,BoneVRepeat,406,308.5,82.5,2,150,9,80,,,
2,GasterBlaster,0,640,308.5,500,308.5,180,0.4,0.3,,
2,GasterBlaster,0,323.5,0,323.5,100,90,0.4,0.3,,
2,SansSlam,1,,,,,,,,,
0,Sound,Ding,1,,,,,,,,
0.3,BoneVRepeat,241,221,125,0,180,25,110,,,
0,BoneVRepeat,241,366,25,0,180,25,110,,,
0,BoneVRepeat,406,221,125,2,180,25,110,,,
0,BoneVRepeat,406,366,25,2,180,25,110,,,
20.6,HeartMode,0,,,,,,,,,
0,Sound,Ding,1,,,,,,,,
0,SansHead,NoTooth,,,,,,,,,
0,DamagePlayer,-30,,,,,,,,,
0,GasterBlaster,1,0,0,323.5,150,90,0.4,0.3,,
0,GasterBlaster,1,640,480,323.5,460,270,0.4,0.3,,
0,GasterBlaster,1,0,256,150,256,0,0.4,0.3,,
0,GasterBlaster,1,640,361,500,361,180,0.4,0.3,,
1,GasterBlaster,1,0,0,191,176,45,0.4,0.3,,
0,GasterBlaster,1,640,480,456,441,225,0.4,0.3,,
0,GasterBlaster,1,0,480,191,441,315,0.4,0.3,,
0,GasterBlaster,1,640,0,456,176,135,0.4,0.3,,
1,GasterBlaster,1,0,308.5,126,308.5,0,0.4,0.3,,
0,GasterBlaster,1,640,308.5,500,308.5,180,0.4,0.3,,
0,GasterBlaster,1,0,0,271,150,90,0.4,0.3,,
0,GasterBlaster,1,640,480,376,450,270,0.4,0.3,,
1,GasterBlaster,2,0,308.5,126,308.5,0,0.7,0.3,,
0,GasterBlaster,2,640,308.5,500,308.5,180,0.7,0.3,,
0,GasterBlaster,1,0,0,376,150,90,0.4,0.3,,
0,GasterBlaster,1,640,480,271,450,270,0.4,0.3,, 
1.5,GasterBlaster,1,0,0,191,176,45,0.8,0.3,,
0,GasterBlaster,1,640,480,456,441,225,0.8,0.3,,
0,GasterBlaster,1,0,480,191,441,315,0.8,0.3,,
0,GasterBlaster,1,640,0,456,176,135,0.8,0.3,,
0,GasterBlaster,1,323.5,0,323.5,176,90,0.8,0.3,,
1.5,CombatZoneResize,120,226,520,391,,,,,,
0,CombatZoneSpeed,500,,,,,,,,,
0,SansHead,NoEyes2,,,,,,,,,
0.5,SineBones,125,20,280,25,,,,,,
0,Set,Cnt,17,,,,,,,,
1,GasterBlaster,1,150,0,150,150,90,0.5,0.5,,
0,GasterBlaster,1,320,0,320,150,90,0.5,0.5,,
0,GasterBlaster,1,490,0,490,150,90,0.5,0.5,,
0,Sub,Cnt,$Cnt,1,,,,,,,
0,JMPNE,215,$Cnt,7,,,,,,,
0,SineBones,115,-20,280,25,,,,,,
0,JMPNZ,209,$Cnt,,,,,,,,
2,SansSlam,1,,,,,,,,,
0.5,BoneVRepeat,120,221,15,0,260,110,20,,,
0,BoneVRepeat,520,361,40,2,260,110,20,,,
